Timestamp,"Section 1: Baseline Screening

Have you previously visited the USC Clinic and experienced their traditional, paper-based (manual) system before utilizing this new digital platform?",  It was easy for me to log in and access my records.  ,The health information displayed was clear and easy to understand.  ,"The system was responsive and worked smoothly (loading speed, navigation).  ",  I was able to access the system anytime and anywhere without major issues.  ,The certificate issuance process was clear and easy.  ,"The features of the system (viewing records, notifications, medical certificates) are helpful to me as a student. ","Section 3: Measuring Operational Goals (Comparative Evaluation)

Instructions: Please rate the following statements on a scale of 1 to 5 (1 = Strongly Disagree, 5 = Strongly Agree), specifically comparing your experience using the web-based system against the old manual system.

The web-based system makes it significantly easier to provide, update, and securely view my comprehensive medical and dental history compared to the manual process.",The web-based system makes accessing my personal health data (like BMI and vital signs) much more convenient compared to the manual process.,The web-based system increases my awareness of the clinic’s health and wellness initiatives compared to the manual process of using physical posters.,The web-based system makes accessing health educational materials and PubMats much easier and more engaging compared to the manual process.,The web-based system makes it much more convenient to provide feedback and rate my clinic experience compared to the manual process of using paper evaluation sheets.,The web-based system effectively provides timely alerts and notifications regarding my clinic transactions and health campaigns compared to the manual process.,The web-based system significantly reduces the overall time required to request and claim a medical certificate compared to the manual process.,The web-based system makes aqcuiring a medical certificate much less of a hassle compared to queuing up and filling out paper forms in the manual process.,"Overall, the web-based system is a massive improvement for managing my personal health records and interacting with the clinic compared to the manual process.",Navigating the web-based system is more intuitive and less frustrating compared to the manual process.,What specific advantages did you experience using this digital system compared to the old manual clinic process?,Is there anything from the manual system that you think the digital system still lacks,Please share any difficulties you experienced when accessing or navigating the system.  (Optional),Which feature did you find most useful?   (Optional),Which feature did you find least useful or confusing?   (Optional),"What additional features would you like the system to have, or how could we improve the interface for a better student experience?   (Optional)","Overall, I am satisfied with my experience using the system. "
6/13/2026 14:52:12,Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,I can access my own records at home. very useful when also visiting other clinics or hospitals for reference,maybe appointment scheduling and maybe a way to chat nurses and doctors for healthcare advice,,,,,5
6/13/2026 16:17:22,Yes,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,Easier and More convenient ,nothing,,,,,5
6/13/2026 20:52:27,Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,It’s easier to look back previous consultations and keep track with medical updates,None so far,,,,,5
6/13/2026 22:19:44,Yes,5,4,5,5,5,,5,4,5,4,5,4,5,5,5,5,i like the new flow of the medical certificate ,cant think of any,nothing,the notification feature,nothing,i like the system as it is,5
6/13/2026 22:21:23,Yes,4,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,the issuing of an electronic medical certificate for faster and more organize way of keeping records ,i dont think so,,,,,5
6/13/2026 22:22:46,Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"for keeping the records, its way convenient ",nothing ,,the notifications feature it helps me stay updated,,,5
6/13/2026 23:40:32,Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,how straightforward and easy it is to input data,i think the digital system lacks reliability in regarding the information being put down as students are sometimes unaware of their own weight and height and diseases/illnesses,,,,,5
6/14/2026 1:04:00,Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,It’s easy to access my records. I had multiple visits but I only have my prescriptions as evidence of them. And I may not need prescriptions everytime.,None,,BMI calculation,,,5
6/14/2026 12:11:40,Yes,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,Much faster,N/A,,,,,4
6/14/2026 21:48:05,Yes,4,5,4,4,4,5,4,4,5,5,4,5,4,5,5,5,Convenient compared to paper based process,No,,,,,5
